sentence_1,sentence_2,label
How many people die from snakebite poisoning in the U.S. per year ?,When was the Big Thompson flood ?,1
In what book can I find the story of Aladdin ?,Who discovered imaginary numbers ?,0
"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",What chemicals are used in lethal injection ?,1
What does CNN stand for ?,When was Ozzy Osbourne born ?,0
Who is the president of the Spanish government ?,Who wrote The Night of the Iguana ?,1
What is a Guild ?,When did swimming become commonplace ?,0
What country buys 25 percent of the world 's tea exports ?,"What populous state covers 49 , 576 square miles ?",1
Name the blind sculptress in love with the Fantastic Four 's Thing .,What name does the world know Renaissance artist Kyriakos Theotokopoulos by ?,1
What does the name `` Sabrina '' mean ?,What costume designer decided that Michael Jackson should only wear one glove ?,0
What letter appears on the cold-water tap in Spain ?,What are the snakes of New England ?,1
How does the chain of command work inside an US army Apache helicopter ?,How many shillings more than 2 were there in a guinea ?,0
What is Mikhail Gorbachev 's middle initial ?,What is the abbreviation for Original Equipment Manufacturer ?,1
What is the longest English word ?,What kind of tree graces Lebanon 's flag ?,1
How many electoral votes does it take to win presidency ?,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",1
How many people die from snakebite poisoning in the U.S. per year ?,About how many soldiers died in World War II ?,1
What does EKG stand for ?,What is the abbreviated expression for the National Bureau of Investigation ?,1
What English queen had six fingers on one hand ?,Who invented batteries ?,1
What was the name of Robert Fulton 's most famous steamboat ?,Who wrote The Night of the Iguana ?,0
What Kenyan city is the safari center for East Africa ?,What is the oldest website on the Internet ?,1
What is a fear of crystals or glass ?,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,0
What is a golf ball made of ?,Where is Glasgow ?,0
What is the full form of .com ?,How many shillings more than 2 were there in a guinea ?,0
What does BUD stand for ?,What is the abbreviation for Original Equipment Manufacturer ?,1
What does the channel ESPN stand for ?,Who wrote The Night of the Iguana ?,0
Who created Maudie Frickett ?,When was Ozzy Osbourne born ?,0
Why was the L.A. office of Shea and Gould closed ?,How did Peabody and Sherman travel through time ?,1
What is the starting salary for beginning lawyers ?,How many Beatles ' records went #1 ?,1
How many people live in Chile ?,When was the Big Thompson flood ?,1
What does the number `` 5 '' stand for on FUBU clothing ?,What does BUD stand for ?,1
How do you look up criminal records on the Internet ?,What are the living conditions in Cuba ?,1
Why does sound travel quicker through water than air ?,What does Choo Choo Charlie say ?,1
"Where on the Web is Adventours Tours from Sydney , Australia ?",What does an average daycare provider get paid in New England ?,0
What does Choo Choo Charlie say ?,What is the fastest-growing comic strip of all time ?,0
What does the channel ESPN stand for ?,How many fiddlers did Old King Cole have ?,0
What are the living conditions in Cuba ?,How many bends are there in a standard paper clip ?,0
What is the abbreviation for Original Equipment Manufacturer ?,What is a geoscientist ?,0
Who founded the Unification Church ?,"Where are the apartments in Saint John , New Brunswick ?",0
What country was Erich Honecker the leader of ?,Where did Luther display his `` Ninety-Five Theses '' ?,1
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",What is the oldest website on the Internet ?,1
What is RCD ?,The major league baseball team in Pittsburgh is called what ?,0
What kind of meat is Fray Bentos synonymous with ?,What chemicals are used in lethal injection ?,1
How do you clean an LCD monitor screen ?,How does the Elongated Man know a mystery is afoot ?,1
What does the name `` Sabrina '' mean ?,Where is Glasgow ?,0
What is a fear of crystals or glass ?,"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",0
How do you clean an LCD monitor screen ?,What is the difference between a bottle and a jar ?,1
What are the living conditions in Cuba ?,When was the Big Thompson flood ?,0
What is the song Stairway to Heaven by Led Zeppelin about ?,How many acres in a mile ?,0
Who discovered imaginary numbers ?,What two baseball players make up the battery ?,1
What company 's trademark was His Master 's Voice ?,Who discovered imaginary numbers ?,1
What does BMW stand for ?,What does the acronym CPR mean ?,1
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,"Who wrote the book , `` The Grinch Who Stole Christmas '' ?",0
How do you stop junk snail mail ?,What is the difference between a bottle and a jar ?,1
What do you call a Poker hand with five cards of the same suit ?,"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",1
What is a fear of crystals or glass ?,What chemicals are used in lethal injection ?,1
Who won the 1967 Academy Award for Best Actor ?,When was Ozzy Osbourne born ?,0
What does BMW stand for ?,CNN is the abbreviation for what ?,1
How does the Elongated Man know a mystery is afoot ?,What year did the United States pass the Copyright law ?,0
What does an average daycare provider get paid in New England ?,How many consecutive baseball games did Lou Gehrig play ?,1
What is the zodiac sign for August 14 ?,What is a golf ball made of ?,1
What does Choo Choo Charlie say ?,What is the longest English word ?,0
What is the zodiac sign for August 14 ?,What is a camel hair brush actually made out of ?,1
What is IOC an abbreviation of ?,What did Mr. Magoo flog on TV for General Electric ?,0
How is Easter Sunday 's date determined ?,What is the starting salary for beginning lawyers ?,0
What does the `` c '' stand for in the equation E=mc2 ?,What does NN O `` mean when used as a prefix in Irish surnames ?,1
What is a golf ball made of ?,What 's the shape of a camel 's spine ?,1
What was the first town to be chartered in Vermont ?,Where is Glasgow ?,1
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",How many people die from snakebite poisoning in the U.S. per year ?,0
How tall is Prince Charles ?,When was the Big Thompson flood ?,1
Why does sound travel quicker through water than air ?,What letter appears on the cold-water tap in Spain ?,0
"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?","What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",1
What did Mr. Magoo flog on TV for General Electric ?,Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,0
Aspartame is known by what other name ?,What kind of tree graces Lebanon 's flag ?,1
How do Ouija Boards work ?,What two baseball players make up the battery ?,0
What city does McCarren Airport serve ?,What are the five most expensive cities in the world ?,1
How many people live in Chile ?,What is the starting salary for beginning lawyers ?,1
How many languages are there in the world ?,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",1
What does the channel ESPN stand for ?,How many Beatles ' records went #1 ?,0
The major league baseball team in Pittsburgh is called what ?,Where was Lincoln assassinated ?,0
Name the blind sculptress in love with the Fantastic Four 's Thing .,"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",1
What concerts are held in New York this week ?,Where can I find a picture of a Blue Meanie ?,0
What was the first town to be chartered in Vermont ?,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,1
In what book can I find the story of Aladdin ?,What kind of tree graces Lebanon 's flag ?,1
What is the longest English word ?,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,1
What does the abbreviation OAS stand for ?,Who was Jean Nicolet ?,0
How many people live in Chile ?,How many fiddlers did Old King Cole have ?,1
What is a fear of strong light ?,How many people visit the Pope each month ?,0
What does the number `` 5 '' stand for on FUBU clothing ?,What English queen had six fingers on one hand ?,0
What is the Hub of London ?,What Leon Uris novel dealt with the Russian capture of Berlin ?,0
What is IOC an abbreviation of ?,What does NASA stand for ?,1
What is a fear of crystals or glass ?,What is a fear of strong light ?,1
What do you call a Poker hand with five cards of the same suit ?,Aspartame is known by what other name ?,1
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",What was the name of Randy Craft 's lawyer ?,0
What two baseball players make up the battery ?,Name the blind sculptress in love with the Fantastic Four 's Thing .,1
What was the name of Randy Craft 's lawyer ?,What Kenyan city is the safari center for East Africa ?,0
What does the name `` Sabrina '' mean ?,What was the name of Robert Fulton 's most famous steamboat ?,0
What English queen had six fingers on one hand ?,Where can I read about Chiang Kai-shek ?,0
What are the five most expensive cities in the world ?,Where is Glasgow ?,1
What are the living conditions in Cuba ?,How does the chain of command work inside an US army Apache helicopter ?,1
What is making love ?,When did swimming become commonplace ?,0
How is Easter Sunday 's date determined ?,About how many soldiers died in World War II ?,0
"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",When was the internal combustion engine developed ?,0
"Where are the apartments in Saint John , New Brunswick ?",Where did Luther display his `` Ninety-Five Theses '' ?,1
What will happen when sodium is put in water ?,What does Choo Choo Charlie say ?,1
What is a wart ?,Who invented the game bowling ?,0
What effect does a prism have on light ?,What country has the highest per capita consumption of cheese ?,0
What kind of meat is Fray Bentos synonymous with ?,What is the fastest-growing comic strip of all time ?,1
What is the zodiac sign for August 14 ?,What chemicals are used in lethal injection ?,1
What is the zodiac sign for August 14 ?,What kind of animal was Winnie the Pooh ?,1
How do you clean an LCD monitor screen ?,What does Choo Choo Charlie say ?,1
Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,Who told all in Ball Four ?,1
Why does sound travel quicker through water than air ?,What company 's trademark was His Master 's Voice ?,0
Who was Lauren Bacall 's first husband ?,"Where are the apartments in Saint John , New Brunswick ?",0
How do you look up criminal records on the Internet ?,Where is Webster University ?,0
When was the Big Thompson flood ?,What does an average daycare provider get paid in New England ?,1
Why is hockey so violent ?,What does Choo Choo Charlie say ?,1
What does the number `` 5 '' stand for on FUBU clothing ?,Why is hockey so violent ?,0
What does `` intractable plantar keratoma '' mean ?,What does the Statue of Liberty wear on her feet ?,0
What body of water does the Yukon River empty into ?,Where can I read about Chiang Kai-shek ?,1
What is the abbreviated expression for the National Bureau of Investigation ?,When was Ozzy Osbourne born ?,0
Aspartame is known by what other name ?,What body of water does the Yukon River empty into ?,0
Who is the president of the Spanish government ?,"What U.S. vice-president once declared : `` If you 've seen one slum , you 've seen them all '' ?",1
What does the `` blue ribbon '' stand for ?,How many people live in Chile ?,0
What is the zodiac sign for August 14 ?,What are three ways in which wind is created on the earth ?,1
What does SIDS stand for ?,What country was Erich Honecker the leader of ?,0
What does EKG stand for ?,What are three ways in which wind is created on the earth ?,0
How do you clean an LCD monitor screen ?,What excuse did the NATO people give for hitting the Chinese embassy ?,1
What Tokyo street glitters with famed department stores and nightclubs ?,What Kenyan city is the safari center for East Africa ?,1
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,Where was Lincoln assassinated ?,1
What will happen when sodium is put in water ?,What problems contributed to the high failure rate of Plains farmers in the 1800s ?,1
Why does sound travel quicker through water than air ?,What is the difference between a bottle and a jar ?,1
What country has the highest per capita consumption of cheese ?,When did the Chernobyl nuclear accident occur ?,0
What does CPR stand for ?,What animal migrates the farthest ?,0
What kind of tree graces Lebanon 's flag ?,What was the name of Robert Fulton 's most famous steamboat ?,1
What does the channel ESPN stand for ?,What university football team did O.J. Simpson take to the Rose Bowl ?,0
What concerts are held in New York this week ?,What are the snakes of New England ?,1
What is the longest English word ?,What does the Statue of Liberty wear on her feet ?,1
In what book can I find the story of Aladdin ?,What do you call a Poker hand with five cards of the same suit ?,1
What does BUD stand for ?,What was the name of Robert Fulton 's most famous steamboat ?,0
"Who wrote the book , `` The Grinch Who Stole Christmas '' ?",Who founded the Unification Church ?,1
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,What chemicals are used in lethal injection ?,1
Who won the 1967 Academy Award for Best Actor ?,How many consecutive baseball games did Lou Gehrig play ?,0
In what book can I find the story of Aladdin ?,How many fiddlers did Old King Cole have ?,0
What sport was the first televised in the U.S. ?,What was the name of Robert Fulton 's most famous steamboat ?,1
Whose singing voice was dubbed in for Natalie Wood in West Side Story and Audrey Hepburn in My Fair Lady ?,How many electoral votes does it take to win presidency ?,0
What Tokyo street glitters with famed department stores and nightclubs ?,Where can I read about Chiang Kai-shek ?,1
"Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?",Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,1
How do Ouija Boards work ?,When was Ozzy Osbourne born ?,0
Aspartame is known by what other name ?,The major league baseball team in Pittsburgh is called what ?,0
What is the song Stairway to Heaven by Led Zeppelin about ?,Which continent has the most roses ?,0
What is the oldest website on the Internet ?,What is the oldest website on the Internet ?,1
What was the name of Robert Fulton 's most famous steamboat ?,What is a camel hair brush actually made out of ?,1
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",What animal migrates the farthest ?,1
When did swimming become commonplace ?,"What 's the maximum length , in inches , of a first baseman 's glove ?",1
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",What river runs through Liverpool ?,1
What letter appears on the cold-water tap in Spain ?,How many electoral votes does it take to win presidency ?,0
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,What country buys 25 percent of the world 's tea exports ?,0
Who is the president of the Spanish government ?,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",1
What 's the shape of a camel 's spine ?,What is a fear of crystals or glass ?,1
How many electoral votes does it take to win presidency ?,How many states did Richard Nixon carry in 1972 ?,1
What made the short-lived Star Hawks strip so unique ?,What are `` inkhorn terms '' ?,1
What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,What is a fear of crystals or glass ?,1
What is IOC an abbreviation of ?,How many consecutive baseball games did Lou Gehrig play ?,0
How many people die from snakebite poisoning in the U.S. per year ?,What is the starting salary for beginning lawyers ?,1
Who was Lauren Bacall 's first husband ?,What country has the highest per capita consumption of cheese ?,0
What does CNN stand for ?,How did Peabody and Sherman travel through time ?,0
What does NN O `` mean when used as a prefix in Irish surnames ?,What is Mikhail Gorbachev 's middle initial ?,1
How many people die from snakebite poisoning in the U.S. per year ?,How many electoral votes does it take to win presidency ?,1
What was the date of Iraq 's invasion of Kuwait ?,"What 's the maximum length , in inches , of a first baseman 's glove ?",1
What country was Erich Honecker the leader of ?,When was Ozzy Osbourne born ?,0
What does Choo Choo Charlie say ?,What first name was Nipsy Russell given at birth ?,0
How many electoral votes does it take to win presidency ?,About how many soldiers died in World War II ?,1
What letter appears on the cold-water tap in Spain ?,Where is Webster University ?,0
What is the abbreviated expression for the National Bureau of Investigation ?,What does CNN stand for ?,1
How many people die from snakebite poisoning in the U.S. per year ?,When was Ozzy Osbourne born ?,1
What does BUD stand for ?,How many consecutive baseball games did Lou Gehrig play ?,0
Who discovered imaginary numbers ?,Who founded the Unification Church ?,1
What is the longest English word ?,Where can I find a picture of a Blue Meanie ?,0
How does the chain of command work inside an US army Apache helicopter ?,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",0
What two baseball players make up the battery ?,Who won the 1967 Academy Award for Best Actor ?,1
What is the zodiac sign for August 14 ?,"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",1
What does the name `` Sabrina '' mean ?,About how many soldiers died in World War II ?,0
What animal migrates the farthest ?,What body of water does the Yukon River empty into ?,0
What does NASA stand for ?,How does the Elongated Man know a mystery is afoot ?,0
When was Ozzy Osbourne born ?,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it ?",1
What are the five most expensive cities in the world ?,When did the Chernobyl nuclear accident occur ?,0
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",Where can I find the history of the Hungarian language ?,1
What does S.O.S. stand for ?,What was the name of Robert Fulton 's most famous steamboat ?,0
What concerts are held in New York this week ?,How many people die from snakebite poisoning in the U.S. per year ?,0
What is the fastest-growing comic strip of all time ?,Who told all in Ball Four ?,0
What company 's trademark was His Master 's Voice ?,Who told all in Ball Four ?,1
What 's the abbreviation for trinitrotoluene ?,How many Beatles ' records went #1 ?,0
What excuse did the NATO people give for hitting the Chinese embassy ?,What river runs through Liverpool ?,0
What does BUD stand for ?,What does `` intractable plantar keratoma '' mean ?,0
What does NASA stand for ?,What does MSG stand for ?,1
Which continent has the most roses ?,What body of water does the Yukon River empty into ?,1
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,Where did Luther display his `` Ninety-Five Theses '' ?,1
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",What chemicals are used in lethal injection ?,1
What does BTU mean ?,What university football team did O.J. Simpson take to the Rose Bowl ?,0
What 's the shape of a camel 's spine ?,What are three ways in which wind is created on the earth ?,1
Why is hockey so violent ?,What is the oldest website on the Internet ?,0
Why is hockey so violent ?,When was Ozzy Osbourne born ?,0
What city 's the kickoff point for climbs of Mount Everest ?,How many fiddlers did Old King Cole have ?,0
What was the name of Randy Craft 's lawyer ?,How many languages are there in the world ?,0
What was the first town to be chartered in Vermont ?,What body of water does the Yukon River empty into ?,1
How do you look up criminal records on the Internet ?,How many shillings more than 2 were there in a guinea ?,0
What is RAM in the computer ?,How many states did Richard Nixon carry in 1972 ?,0
What is IOC an abbreviation of ?,Which continent has the most roses ?,0
How does the chain of command work inside an US army Apache helicopter ?,Why do men snore ?,1
What excuse did the NATO people give for hitting the Chinese embassy ?,What company 's trademark was His Master 's Voice ?,0
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,What are three ways in which wind is created on the earth ?,1
What city 's the kickoff point for climbs of Mount Everest ?,About how many soldiers died in World War II ?,0
What does Choo Choo Charlie say ?,How many languages are there in the world ?,0
What is Mikhail Gorbachev 's middle initial ?,"What 's the maximum length , in inches , of a first baseman 's glove ?",0
What does CNN stand for ?,What was the first town to be chartered in Vermont ?,0
How many people die from snakebite poisoning in the U.S. per year ?,What does an average daycare provider get paid in New England ?,1
