text,coarse_label,fine_label,label,source_line
"what was nine tailors , the television show from 1974 , about ?",DESC,desc,1,3193
what is the capital of california ?,LOC,city,4,5102
where can i find a world atlas map online at no charge ?,LOC,other,4,4175
what is troilism ?,DESC,def,1,2690
what is the best online games site ?,LOC,other,4,3291
what is glass made of ?,ENTY,substance,2,1930
what are the ten safest american cities for pedestrians ?,LOC,city,4,3533
what did thomas paine write ?,ENTY,cremat,2,3248
what does the abbreviation aids stand for ?,ABBR,exp,0,31
who won a pulitzer prize for his novel the caine mutiny ?,HUM,ind,3,2869
what is the chromosome number of an elephant ?,NUM,count,5,900
what ice creams contain seaweed ?,ENTY,food,2,2136
how does one correctly pronounce ` qigong ' ?,DESC,manner,1,1864
who was picasso ?,HUM,desc,3,4902
what 's the capital of monaco ?,LOC,city,4,4128
when did muhammad live ?,NUM,date,5,551
what nevada center has been dubbed the biggest little city in the world ?,LOC,city,4,419
what actor married john f. kennedy 's sister ?,HUM,ind,3,795
where did guinea pigs originate ?,LOC,other,4,1124
what u.s. state are the finger lakes in ?,LOC,state,4,3531
what is the world 's highest peak ?,LOC,mount,4,1294
how many years make up a lustrum ?,NUM,count,5,3062
what does the e stand for in the equation e=mc2 ?,ABBR,exp,0,3336
what is a fear of fur ?,ENTY,dismed,2,1754
how you can raise your iq ?,DESC,manner,1,147
what is the oldest ethnological museum in the world ?,LOC,other,4,2272
what soft drink held a national flavor poll in 1967 ?,ENTY,food,2,5095
what people make up half the soviet union 's population ?,HUM,gr,3,5436
who invented the process to make condensed milk ?,HUM,ind,3,4099
what does bmw stand for ?,ABBR,exp,0,4336
what are the benefits of a rowing machine ?,DESC,desc,1,4907
which of many numbered vats of scotch was judged best by a panel of experts in 1863 ?,ENTY,food,2,3050
where did woodstock take place ?,LOC,other,4,3808
what does g.m.t. stand for ?,ABBR,exp,0,444
"what river runs through colorado , kansas , and oklahoma ?",LOC,other,4,3337
what continent is bolivia on ?,LOC,other,4,1384
"how can i find online spelling , and punctuation drills for my 6th grader ?",DESC,manner,1,914
what is a specimen of basidiomycetes ?,DESC,def,1,5100
what are super balls made of ?,ENTY,substance,2,4040
what 's the largest island in the west indies ?,LOC,other,4,2723
what is a fear of hell ?,ENTY,dismed,2,1091
"whose special bear 's creator was born on january 18 , 1779 ?",HUM,ind,3,2695
what does snafu stand for ?,ABBR,exp,0,3960
what is the capital of uruguay ?,LOC,city,4,4054
what 's the claim to fame of night watchman frank wills ?,DESC,reason,1,3729
what does the name billie mean ?,DESC,def,1,434
what does the abbreviation cwt. ?,ABBR,exp,0,1258
where does the opera singer ileana cotrubas come from ?,LOC,other,4,2320
what war did florence nightingale tend the troops in ?,ENTY,event,2,378
how many colors are there in the spectrum ?,NUM,count,5,5337
who was the first woman governor of wyoming ?,HUM,ind,3,2094
what are the shortest and the longest songs ever produced ?,ENTY,cremat,2,716
what major airline has the best safety record in the world ?,HUM,gr,3,4457
who directed citizen kane ?,HUM,ind,3,2689
how much money are dumbo 's ears insured for ?,NUM,money,5,431
what does it take to be a hero ?,ENTY,other,2,3823
what is jane goodall famous for ?,DESC,reason,1,2548
what are the alveoli ?,DESC,def,1,2014
what future movie treat was introduced to american colonists in 1603 by native americans ?,ENTY,food,2,3968
who is the superstar in rent-a-cars ?,HUM,ind,3,508
what is greek pita ?,DESC,def,1,2329
what is lmds ?,ABBR,exp,0,4348
how do you find the area of a circle ?,DESC,manner,1,5071
how many `` eyes '' does a coconut have ?,NUM,count,5,3586
what is hdlc ?,ABBR,exp,0,3796
on what day were john f and jackie kennedy married ?,NUM,date,5,2865
what is a chinese `` spouting '' bowl ?,DESC,def,1,2710
what country has problems with hooligans ?,LOC,country,4,4518
what do bee hives do in cranberry bogs ?,DESC,desc,1,481
what is the nursery rhyme rock-a-by baby about ?,DESC,desc,1,2875
what do the french call la manche ?,ENTY,termeq,2,1938
which latin american country is the largest ?,LOC,country,4,2928
how many people live in chile ?,NUM,count,5,5429
which company created the internet browser mosaic ?,HUM,gr,3,210
what were the causes of the civil war ?,DESC,reason,1,1596
what is the web address of the list of e-mail addresses of members of the house of representatives ?,LOC,other,4,581
how can i call a friend in another country when i do not know the telephone number ?,DESC,manner,1,4447
what concerts are held in new york this week ?,ENTY,event,2,3327
stuart hamblen is considered to be the first singing cowboy of which medium ?,ENTY,cremat,2,4992
who created the character james bond ?,HUM,ind,3,4940
who won the nobel peace prize in 1991 ?,HUM,ind,3,360
who was camp david named for ?,HUM,ind,3,1681
what sea is bombay on ?,LOC,other,4,5162
what wild and crazy guy wrote a book called cruel shoes ?,HUM,ind,3,5327
what is the principal river of ireland ?,LOC,other,4,2651
by how much will the california state gas tax rise by the year 2000 ?,NUM,money,5,3744
what are the low countries ?,DESC,def,1,3653
what level of government or governmental agency is responsible for dealing with racism ?,HUM,gr,3,477
what sport features snatches and clean jerks ?,ENTY,sport,2,1824
how many colors are there in a rainbow ?,NUM,count,5,4432
what book is the follow-up to future shock ?,ENTY,cremat,2,1507
what is the definition of hazmat ?,DESC,def,1,2490
when will jean aeul publish her next book ?,NUM,date,5,1830
who banned peter rose from baseball for betting on games ?,HUM,ind,3,891
who invented the toothbrush ?,HUM,ind,3,584
when did hitler come to power in germany ?,NUM,date,5,2302
what is jimmy olsen 's full name ?,HUM,ind,3,3939
what 's the northernmost u.s. state apart from alaska ?,LOC,state,4,1359
"what 's the maximum length , in inches , of a first baseman 's glove ?",NUM,count,5,3646
where is the virtual desk reference ?,LOC,other,4,3850
"when did lucelly garcia , a former ambassador of columbia to honduras , die ?",NUM,date,5,4155
what is the origin of the surname of braun ?,DESC,desc,1,946
for what disease is the drug sinemet used as a treatment ?,ENTY,dismed,2,4919
who 's the twin brother of the greek goddess artemis ?,HUM,ind,3,1070
what european city do nicois live in ?,LOC,city,4,266
who was the founding member of the pink floyd band ?,HUM,ind,3,288
when did the carolingian period begin ?,NUM,date,5,2846
which is the wealthiest country in the world ?,LOC,country,4,676
what are the languages spoken by the natives in afghanistan ?,ENTY,lang,2,3718
what countries have the largest armed forces in the world ?,LOC,country,4,1567
what 's the official language of algeria ?,ENTY,lang,2,2037
why is the word `` abbreviation '' so long ?,DESC,reason,1,3292
what is the fear of the computer called ?,ENTY,dismed,2,3260
who was the first doctor to successfully transplant a liver ?,HUM,ind,3,3224
which airplane was fawaz younis convicted of hijacking ?,ENTY,veh,2,5393
what causes rust ?,DESC,reason,1,1132
what is difference between a poster and a print ?,DESC,desc,1,3103
where did honecker rule ?,LOC,other,4,1538
what tools do you use to crewel ?,ENTY,other,2,2334
what country was kim philby really working for ?,LOC,country,4,3058
what is the homelite inc. home page ?,LOC,other,4,4489
"what clause in the u.s. constitution may not be changed , altered or amended ?",DESC,desc,1,2509
"what college enlivens hanover , new hampshire ?",HUM,gr,3,3341
what european country 's monarchy was restored in 1975 ?,LOC,country,4,5431
what 's distinctive about a palmiped 's feet ?,DESC,desc,1,4611
what 's the name of the wilkes plantation in gone with the wind ?,LOC,other,4,3542
who won the first general election for president held in malawi in may 1994 ?,HUM,ind,3,5401
how do wasps make their nests ?,DESC,manner,1,3923
what country 's capital is lagos ?,LOC,country,4,1531
what does s.o.s. stand for ?,ABBR,exp,0,222
how many calories are there in soy sauce ?,NUM,count,5,3008
what does the `` blue ribbon '' stand for ?,ABBR,exp,0,4964
who should i call to get a tour of the new york stock exchange ?,HUM,ind,3,3197
what are the lyrics to `` smelly cat '' ?,DESC,desc,1,3321
what 19th-century writer had a country estate on the hudson dubbed sunnyside ?,HUM,ind,3,731
"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?",ENTY,event,2,995
what does the double-o indicate in 007 ?,DESC,def,1,5412
what does nasa stand for ?,ABBR,exp,0,3521
what does nasdaq stand for ?,ABBR,exp,0,308
what does the `` c '' stand for in the equation e=mc2 ?,ABBR,exp,0,2086
what condiment do the dutch dip their french fries in ?,ENTY,food,2,5065
"what 's the meaning of the latin battle cry : ad arma , ad arma .",DESC,def,1,258
where are diamonds mined ?,LOC,other,4,4449
"how much does it cost to have a tree planted by dialing , 900 , 740-tree ?",NUM,money,5,2728
what jewish holiday saw the start of the 1973 mideast war ?,ENTY,event,2,368
what does freddy freeman say to become captain marvel jr. ?,DESC,desc,1,3059
what is the abbreviated term used for the national bureau of investigation ?,ABBR,abb,0,2380
who gave abbie hoffman his first dose of lsd ?,HUM,ind,3,3021
when was the bill of rights ratified ?,NUM,date,5,2154
what is the highest peak in africa ?,LOC,mount,4,436
what hair color can i use to just cover a little gray ?,ENTY,color,2,4501
what does jessica mean ?,ABBR,exp,0,3189
where is los vegas ?,LOC,other,4,3529
what is the lens behind the iris in the eye called ?,ENTY,termeq,2,2610
what bread company used to feature stickers of the cisco kid on the ends of their packages ?,HUM,gr,3,2780
what spanish artist painted crucifixion ?,HUM,ind,3,495
what south american city has the world 's highest commercial landing field ?,LOC,city,4,213
"when reading classified ads , what does eenty : other stand for ?",ABBR,exp,0,590
who is the prime minister in norway ?,HUM,ind,3,4065
how many cds has garth brooks sold ?,NUM,count,5,911
what 's the difference between j.d. and ll.m. ?,DESC,desc,1,1643
what is `` the taste that beats the others cold '' ?,ENTY,food,2,3989
how many marx brothers were there ?,NUM,count,5,4439
what disease is transmitted by the anopheles mosquito ?,ENTY,dismed,2,241
what is the most commonly used 1 letter word in the english language ?,ENTY,word,2,3173
why is the mile 528 feet ?,DESC,reason,1,4301
what bottled-up tv character was born in baghdad ?,HUM,ind,3,2542
what did the gas house gang play ?,ENTY,other,2,1214
what is the abbreviation of the national bureau of investigation ?,ABBR,abb,0,2650
what is bph ?,ABBR,exp,0,309
what does the word laser mean ?,ABBR,exp,0,855
what is alice cooper 's real name ?,HUM,ind,3,4774
what russian seaport has a name meaning `` lord of the east '' ?,LOC,city,4,547
what mary tyler moore show regular came into the world as tadeus wladyslaw konopka ?,ENTY,cremat,2,1693
when did nostradamus believe world war iii would begin ?,NUM,date,5,2556
what 's the abbreviation for limited partnership ?,ABBR,abb,0,2534
"where is it planned to berth the merchant ship , lane victory , which merchant marine veterans are converting into a floating museum ?",LOC,other,4,4840
what color flies closest to the staff on belgium 's flag ?,ENTY,color,2,2274
who wrote the look of love after viewing ursula andress ?,HUM,ind,3,1634
who makes the `` cross-your-heart bra '' ?,HUM,ind,3,4452
what is a fear of color ?,ENTY,dismed,2,1627
what year did the vietnam war end ?,NUM,date,5,897
what are people doing to help prevent the extinction of birds ?,DESC,desc,1,4300
what does hiv stand for ?,ABBR,exp,0,3788
how come a doughnut has a hole in it ?,DESC,reason,1,3934
"what is deadrise , nautical , ?",DESC,def,1,2036
when does the average teenager first have intercourse ?,NUM,date,5,449
cnn is the abbreviation for what ?,ABBR,exp,0,262
what is the u.s. location of procter & gamble corporate offices ?,LOC,other,4,5386
what year was the naacp founded ?,NUM,date,5,2323
what does msg stand for ?,ABBR,exp,0,3299
who was made the first honorary citizen of the u.s. ?,HUM,ind,3,1228
what does the t.s. stand for in t.s. eliot 's name ?,ABBR,exp,0,4055
why do many native american students not complete college ?,DESC,reason,1,4121
what does necrosis mean ?,ABBR,exp,0,1717
how many fingers are used to draw a bow ?,NUM,count,5,782
when did mount st. helen last have a significant eruption ?,NUM,date,5,261
what book is subtitled the preservation of favoured races in the struggle for life ?,ENTY,cremat,2,2412
who was the president of vichy france ?,HUM,ind,3,2781
what is the weight of air ?,NUM,weight,5,4050
how many e-commerce companies are started every day ?,NUM,count,5,3784
what u.s. state ends with a g ?,LOC,state,4,1676
what game is fatal to anybody over 21 ?,ENTY,sport,2,1159
"what dropped 1 , 313 feet in 1980 ?",ENTY,other,2,3466
what is the chemical formula for napalm ?,ENTY,symbol,2,4958
who was the first coach of the cleveland browns ?,HUM,ind,3,366
how old was sir edmund hillary when he climbed mt. everest ?,NUM,period,5,5199
what was the business of the animated sky hawks ?,HUM,gr,3,1699
how many colonies did germany get to keep after world war i ?,NUM,count,5,3324
how many people died when the estonia sank in 1994 ?,NUM,count,5,4541
who wrote nn dt nnp nnp '' ?,HUM,ind,3,247
where is qatar ?,LOC,other,4,4062
who is known as `` the world 's oldest teenager '' ?,HUM,ind,3,1242
what color are a cherry tree 's flowers ?,ENTY,color,2,4122
"what 's played at wembley stadium , london , every may ?",ENTY,sport,2,4771
what does u.s.s.r. stand for ?,ABBR,exp,0,1661
what type of performer is ileana cotrubas ?,ENTY,other,2,1710
what tv show did john sebastian sing the theme for ?,ENTY,cremat,2,2973
what professional sports league originated the college draft ?,HUM,gr,3,4244
what is the name of the pop singer whose song became the theme song for a brand of catsup ?,HUM,ind,3,2881
what was the vietnam war ?,DESC,def,1,2862
what is dsl ?,ABBR,exp,0,5316
"what desert country borders saudi arabia , iraq and the persian gulf ?",LOC,country,4,2745
what is the full form of .com ?,ABBR,exp,0,5
what 's the score of a forfeited baseball game ?,NUM,other,5,3355
what date did man first land on the moon ?,NUM,date,5,2752
what is the abbreviation for micro ?,ABBR,abb,0,305
what is a handheld pc ?,DESC,def,1,1144
what war did the potsdam conference follow ?,ENTY,event,2,1809
what does ioc stand for ?,ABBR,exp,0,2253
what writer-journalist made his mark describing colorful broadway and underworld characters ?,HUM,ind,3,3074
where were the 1936 summer olympics held ?,LOC,other,4,5191
what did lenny bruce say that got him arrested ?,DESC,desc,1,4853
where is the taj mahal ?,LOC,other,4,4610
how many members of a family could be drafted in the u.s. military during world war ii ?,NUM,count,5,4961
"what does r.e.m. stand for , as in the rock group r.e.m. ?",ABBR,exp,0,5005
what city was bobby kennedy assassinated in ?,LOC,city,4,3481
who starred in the movie the war of the worlds ?,HUM,ind,3,4486
"what singer became despondent over the death of freddie prinze , quit show business , and then quit the business ?",HUM,ind,3,1001
what does rca stand for ?,ABBR,exp,0,4600
what piano company claims its product is the `` instrument of the immortals '' ?,HUM,gr,3,129
how do i write to my congressman ?,DESC,manner,1,1775
what nationality is a sicilian ?,LOC,country,4,4690
what ill-fated american general dragged a bull terrier named willie through world war ii ?,HUM,ind,3,3354
what 's bottled in jeroboams ?,ENTY,other,2,4068
what are the largest libraries in the us ?,LOC,other,4,1679
how long does it take to hike the entire appalachian trail ?,NUM,period,5,2801
"what is the history of hot wheels cars , and how are they produced ?",DESC,desc,1,4164
who was the first governor of west virginia ?,HUM,ind,3,1827
what age is benny carter ?,NUM,period,5,2622
who portrayed sherlock holmes in 14 films between 1939 and 1946 ?,HUM,ind,3,2873
name the three races unleashed by the celestials in marvel comics .,HUM,gr,3,3067
what does a&w of root beer fame stand for ?,ABBR,exp,0,2741
where did dikembe mutombo go to college ?,LOC,other,4,4273
what does btu mean ?,ABBR,exp,0,3622
what is a fear of failure ?,ENTY,dismed,2,5044
what are new computer games for windows 95 or 98 ?,ENTY,sport,2,4587
when was the ussr dissolved ?,NUM,date,5,4707
what new games are available for nintendo 64 ?,ENTY,sport,2,2627
name a film in which jude law acted .,ENTY,cremat,2,563
what is the full name of the plo ?,ABBR,exp,0,849
what is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBR,abb,0,4310
what is the largest natural lake in pennsylvania ?,LOC,other,4,1499
what three colors of ink are used to print a u.s. dollar bill ?,ENTY,color,2,4835
who was the first jockey to ride two triple crown winners ?,HUM,ind,3,3250
what is the abbreviated form of the national bureau of investigation ?,ABBR,abb,0,2068
who does the advertizing for frito-lay ?,HUM,ind,3,344
what is the term for the side of the mountain that faces the prevailing winds ?,ENTY,termeq,2,2827
what explorer was nicknamed iberia 's pilot ?,HUM,ind,3,206
when did the last americans leave vietnam ?,NUM,date,5,4534
what color is the cross on switzerland 's flag ?,ENTY,color,2,3749
tell me what city the kentucky horse park is near ?,LOC,city,4,1346
what two baseball players make up the battery ?,HUM,ind,3,1355
what is the exchange rate for australian to american money ?,NUM,money,5,1578
what mediterranean island is home to the first club med ?,LOC,other,4,3230
who is stationed at camp swampy in the comic strips ?,HUM,ind,3,1617
"what two historical figures , who fought each other in a famous battle , each have a food named after them ?",HUM,ind,3,3414
what causes pneumonia ?,DESC,reason,1,187
what is the largest variety of cactus ?,DESC,def,1,1695
how do i find info about rice importers in the world ?,DESC,manner,1,2727
in what u.s. state was the first woman governor elected ?,LOC,state,4,424
how do you clean badly tarnished brass ?,DESC,manner,1,3783
what lake is the source of the white nile ?,LOC,other,4,2652
what is measured in curies ?,DESC,def,1,804
how much does the president get paid ?,NUM,money,5,1354
what new england state covers 5.9 square miles ?,LOC,state,4,3910
what 's the name of the tokyo stock exchange ?,ENTY,termeq,2,2375
how many referees work a soccer game ?,NUM,count,5,478
what is the difference between college and graduate school ?,DESC,desc,1,2514
shea and gould had an office in los angeles for how long before closing it ?,NUM,period,5,1653
what does sids stand for ?,ABBR,exp,0,519
what does a man suffering from diphallic terata have ?,ENTY,dismed,2,5258
what does bud stand for ?,ABBR,exp,0,5059
how do i make fuel bricks from recycled newspaper ?,DESC,manner,1,76
what is the name of miss india 1994 ?,HUM,ind,3,1919
what island was the target of the u.s. 's operation urgent fury ?,LOC,other,4,4737
how many different countries export coffee ?,NUM,count,5,3893
how is the element strontium purified ?,DESC,manner,1,3443
