text,coarse_label,fine_label,label,source_line
what is the origin of the surname of braun ?,DESC,desc,1,946
how is answers.com funded ?,DESC,manner,1,5054
what is software piracy ?,DESC,def,1,3426
what are the largest libraries in the us ?,LOC,other,4,1679
what u.s. state are the finger lakes in ?,LOC,state,4,3531
what is the highest peak in africa ?,LOC,mount,4,436
how do i make fuel bricks from recycled newspaper ?,DESC,manner,1,76
what do the names andrew and christina mean ?,DESC,def,1,1600
what does the t.s. stand for in t.s. eliot 's name ?,ABBR,exp,0,4055
what city is sometimes called gotham ?,LOC,city,4,194
what hair color can i use to just cover a little gray ?,ENTY,color,2,4501
what does hiv stand for ?,ABBR,exp,0,3788
what is the chromosome number of an elephant ?,NUM,count,5,900
what does the number `` 5 '' stand for on fubu clothing ?,ABBR,abb,0,3551
name a french fascist party .,HUM,gr,3,3278
where can i find a `` fifth element '' screensaver ?,LOC,other,4,328
what concerts are held in new york this week ?,ENTY,event,2,3327
what is the average weight for a man ?,NUM,weight,5,2264
what time of year do most people fly ?,NUM,date,5,2820
what is the world 's highest peak ?,LOC,mount,4,1294
what did vasco da gama discover ?,ENTY,other,2,4824
what is the name of miss india 1994 ?,HUM,ind,3,1919
the jewish alphabet is known as what ?,ENTY,termeq,2,5097
where can i find examples of legal cases about the individuals with disabilities education act ?,LOC,other,4,1334
what is the homelite inc. home page ?,LOC,other,4,4489
how many members of a family could be drafted in the u.s. military during world war ii ?,NUM,count,5,4961
what does ibm stand for ?,ABBR,exp,0,1455
what actor married john f. kennedy 's sister ?,HUM,ind,3,795
what mary tyler moore show regular came into the world as tadeus wladyslaw konopka ?,ENTY,cremat,2,1693
who was darth vader 's son ?,HUM,ind,3,4095
what professional sports league originated the college draft ?,HUM,gr,3,4244
who was the first doctor to successfully transplant a liver ?,HUM,ind,3,3224
how many marx brothers were there ?,NUM,count,5,4439
what russian seaport has a name meaning `` lord of the east '' ?,LOC,city,4,547
what is a fear of fish ?,ENTY,dismed,2,5410
who were the 1974 oscar winners ?,HUM,ind,3,4815
what causes pneumonia ?,DESC,reason,1,187
where is los vegas ?,LOC,other,4,3529
how do i find a web address for a company ?,DESC,manner,1,5079
what country did the romans call hibernia ?,LOC,country,4,3163
how do they get teflon to stick to the pan ?,DESC,manner,1,4450
what time of year is air travel the heaviest ?,NUM,date,5,3677
what sea is bombay on ?,LOC,other,4,5162
name the vessel used by the atari force in the dc comics .,ENTY,veh,2,912
what nationality is a sicilian ?,LOC,country,4,4690
"what is deadrise , nautical , ?",DESC,def,1,2036
what is ouzo ?,DESC,def,1,4052
"what 's played at wembley stadium , london , every may ?",ENTY,sport,2,4771
what does the name billie mean ?,DESC,def,1,434
how many colors are there in a rainbow ?,NUM,count,5,4432
what are the lyrics to `` smelly cat '' ?,DESC,desc,1,3321
where did guinea pigs originate ?,LOC,other,4,1124
who was made the first honorary citizen of the u.s. ?,HUM,ind,3,1228
what piano company claims its product is the `` instrument of the immortals '' ?,HUM,gr,3,129
what does the double-o indicate in 007 ?,DESC,def,1,5412
what are the ten safest american cities for pedestrians ?,LOC,city,4,3533
what is the fear of the computer called ?,ENTY,dismed,2,3260
how do i find info about rice importers in the world ?,DESC,manner,1,2727
what 's the claim to fame of night watchman frank wills ?,DESC,reason,1,3729
what is the full name of the plo ?,ABBR,exp,0,849
what is the acronym for the rating system for air conditioner efficiency ?,ABBR,abb,0,5310
who won the nobel peace prize in 1991 ?,HUM,ind,3,360
what is the exchange rate for australian to american money ?,NUM,money,5,1578
"what was nine tailors , the television show from 1974 , about ?",DESC,desc,1,3193
where can i get a complete listing of showtimes in my area ?,LOC,other,4,4826
what does knight ridder publish ?,ENTY,cremat,2,3477
what 's the population of mississippi ?,NUM,other,5,1856
what is a handheld pc ?,DESC,def,1,1144
what three colors of ink are used to print a u.s. dollar bill ?,ENTY,color,2,4835
what explorer was nicknamed iberia 's pilot ?,HUM,ind,3,206
what does a&w of root beer fame stand for ?,ABBR,exp,0,2741
what european country 's monarchy was restored in 1975 ?,LOC,country,4,5431
name randy craft 's lawyer .,HUM,ind,3,1876
what 's distinctive about a palmiped 's feet ?,DESC,desc,1,4611
what color are a cherry tree 's flowers ?,ENTY,color,2,4122
how do storms form ?,DESC,manner,1,1399
where are diamonds mined ?,LOC,other,4,4449
what city was bobby kennedy assassinated in ?,LOC,city,4,3481
who was the president of vichy france ?,HUM,ind,3,2781
what is bph ?,ABBR,exp,0,309
which airplane was fawaz younis convicted of hijacking ?,ENTY,veh,2,5393
what is the name of the islamic counterpart to the red cross ?,ENTY,termeq,2,1928
who invented the toothbrush ?,HUM,ind,3,584
who was chosen to be the first black chairman of the military joint chiefs of staff ?,HUM,ind,3,4651
how many people are there in the world ?,NUM,count,5,218
"what is the latitude and longitude of el paso , texas ?",NUM,other,5,1536
why is the word `` abbreviation '' so long ?,DESC,reason,1,3292
what is the chemical formula for napalm ?,ENTY,symbol,2,4958
what new england state covers 5.9 square miles ?,LOC,state,4,3910
what does the `` blue ribbon '' stand for ?,ABBR,exp,0,4964
what does bud stand for ?,ABBR,exp,0,5059
what 's the difference between j.d. and ll.m. ?,DESC,desc,1,1643
who was picasso ?,HUM,desc,3,4902
when was the bill of rights ratified ?,NUM,date,5,2154
what does the abbreviation cwt. ?,ABBR,exp,0,1258
who wrote nn dt nnp nnp '' ?,HUM,ind,3,247
what is a chinese `` spouting '' bowl ?,DESC,def,1,2710
what is the nursery rhyme rock-a-by baby about ?,DESC,desc,1,2875
what 's the official language of algeria ?,ENTY,lang,2,2037
how do you clean badly tarnished brass ?,DESC,manner,1,3783
what two south american countries do n't border brazil ?,LOC,country,4,157
what is html ?,ABBR,exp,0,2693
what card company sells christmas ornaments ?,HUM,gr,3,2773
how much calcium should an adult female have daily ?,NUM,count,5,5143
where is qatar ?,LOC,other,4,4062
when did muhammad live ?,NUM,date,5,551
what does the abbreviation oas stand for ?,ABBR,exp,0,3739
what does the abbreviation aids stand for ?,ABBR,exp,0,31
what war did florence nightingale tend the troops in ?,ENTY,event,2,378
"where are the apartments in saint john , new brunswick ?",LOC,other,4,3512
where does the weird shape of the dinner fish knife originate from ?,LOC,other,4,2208
what is the meaning of the name ella ?,DESC,def,1,1474
what does the e stand for in the equation e=mc2 ?,ABBR,exp,0,3336
what does bmw stand for ?,ABBR,exp,0,4336
how do you get silly putty out of fabric ?,DESC,manner,1,3290
what does nn o `` mean when used as a prefix in irish surnames ?,ABBR,exp,0,981
cnn is the abbreviation for what ?,ABBR,exp,0,262
for what reason did some san diego schools stop serving apples ?,DESC,reason,1,1262
what does s.o.s. stand for ?,ABBR,exp,0,222
who won the first general election for president held in malawi in may 1994 ?,HUM,ind,3,5401
how many people did randy craft kill ?,NUM,count,5,281
what bottled-up tv character was born in baghdad ?,HUM,ind,3,2542
what is the weight of a teaspoon of matter in a black hole ?,NUM,weight,5,3297
what was the vietnam war ?,DESC,def,1,2862
"what is the approximate population of las vegas , n.m ?",NUM,other,5,1353
what countries does the mont blanc tunnel join ?,LOC,country,4,3145
"what is p.m. an abbreviation for , as in 5 p.m. ?",ABBR,exp,0,5261
who is stationed at camp swampy in the comic strips ?,HUM,ind,3,1617
what is the abbreviation of general motors ?,ABBR,abb,0,1743
where does mother angelica live ?,LOC,other,4,1851
"what singer became despondent over the death of freddie prinze , quit show business , and then quit the business ?",HUM,ind,3,1001
how many minutes were there on the original ge college bowl clock ?,NUM,count,5,1270
what is the definition of hazmat ?,DESC,def,1,2490
who starred in the movie the war of the worlds ?,HUM,ind,3,4486
approximately how many students are enrolled at the university of massachusetts ?,NUM,count,5,2312
what does necrosis mean ?,ABBR,exp,0,1717
how many horses died during the civil war ?,NUM,count,5,1266
what soft drink held a national flavor poll in 1967 ?,ENTY,food,2,5095
"whose special bear 's creator was born on january 18 , 1779 ?",HUM,ind,3,2695
on what day were john f and jackie kennedy married ?,NUM,date,5,2865
what disease is transmitted by the anopheles mosquito ?,ENTY,dismed,2,241
what is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBR,abb,0,4310
how many types of dogs ' tails are there - three,NUM,count,5,403
what is the abbreviated term used for the national bureau of investigation ?,ABBR,abb,0,2380
how many languages are there in the world ?,NUM,count,5,4901
what is the abbreviated form of the national bureau of investigation ?,ABBR,abb,0,2068
what nevada center has been dubbed the biggest little city in the world ?,LOC,city,4,419
what heavyweight boxer was known as the wild bull of the pampas ?,HUM,ind,3,5082
who wrote the look of love after viewing ursula andress ?,HUM,ind,3,1634
"what two historical figures , who fought each other in a famous battle , each have a food named after them ?",HUM,ind,3,3414
"where is it planned to berth the merchant ship , lane victory , which merchant marine veterans are converting into a floating museum ?",LOC,other,4,4840
what does ioc stand for ?,ABBR,exp,0,2253
who is count cinzano ?,HUM,desc,3,2458
what colors make up a rainbow ?,ENTY,color,2,3180
when did princess diana and prince charles get married ?,NUM,date,5,2007
what are tonsils for ?,DESC,reason,1,1574
how many years make up a lustrum ?,NUM,count,5,3062
what is the capital of uruguay ?,LOC,city,4,4054
how many gallons of water go over niagra falls every second ?,NUM,count,5,4372
who portrayed sherlock holmes in 14 films between 1939 and 1946 ?,HUM,ind,3,2873
what u.s. state ends with a g ?,LOC,state,4,1676
what is the abbreviated expression for the national bureau of investigation ?,ABBR,abb,0,669
when did mount st. helen last have a significant eruption ?,NUM,date,5,261
what does ph stand for ?,ABBR,exp,0,5013
who 's the twin brother of the greek goddess artemis ?,HUM,ind,3,1070
who played the ringo kid in the 1939 film stagecoach ?,HUM,ind,3,611
"what dropped 1 , 313 feet in 1980 ?",ENTY,other,2,3466
what type of performer is ileana cotrubas ?,ENTY,other,2,1710
what does cnn stand for ?,ABBR,exp,0,1886
what does rca stand for ?,ABBR,exp,0,4600
what writer-journalist made his mark describing colorful broadway and underworld characters ?,HUM,ind,3,3074
what 's the name of the wilkes plantation in gone with the wind ?,LOC,other,4,3542
what did the gas house gang play ?,ENTY,other,2,1214
what is a `` usb '' port on a computer ?,ABBR,exp,0,2138
when did the last americans leave vietnam ?,NUM,date,5,4534
when does menstruation begin ?,NUM,date,5,5231
who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ?,HUM,ind,3,2954
who was the first woman governor of wyoming ?,HUM,ind,3,2094
how do i contact answers.com ?,DESC,manner,1,2150
how is the element strontium purified ?,DESC,manner,1,3443
what are the shortest and the longest songs ever produced ?,ENTY,cremat,2,716
what does iq stand for ?,ABBR,exp,0,4105
who won a pulitzer prize for his novel the caine mutiny ?,HUM,ind,3,2869
what spanish artist painted crucifixion ?,HUM,ind,3,495
when was the ussr dissolved ?,NUM,date,5,4707
when was the parthenon built ?,NUM,date,5,5051
in what year was de gaulle elected president of france ?,NUM,date,5,172
what is the name of the pop singer whose song became the theme song for a brand of catsup ?,HUM,ind,3,2881
what color were ernest hemingway 's eyes ?,ENTY,color,2,4240
how you can raise your iq ?,DESC,manner,1,147
what are new computer games for windows 95 or 98 ?,ENTY,sport,2,4587
what does a man suffering from diphallic terata have ?,ENTY,dismed,2,5258
what is the abbreviation of the company name ` general motors ' ?,ABBR,abb,0,382
"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?",ENTY,event,2,995
what is the origin of the expression `` four-letter word '' ?,DESC,desc,1,4241
what is the term for the side of the mountain that faces the prevailing winds ?,ENTY,termeq,2,2827
what 's the score of a forfeited baseball game ?,NUM,other,5,3355
what is the difference between college and graduate school ?,DESC,desc,1,2514
"what college enlivens hanover , new hampshire ?",HUM,gr,3,3341
what ice creams contain seaweed ?,ENTY,food,2,2136
what 's the abbreviation for trinitrotoluene ?,ABBR,abb,0,1985
"what 's the maximum length , in inches , of a first baseman 's glove ?",NUM,count,5,3646
what is the weight of air ?,NUM,weight,5,4050
what is the origin of the proverb `` a stitch in time saves nine '' ?,DESC,desc,1,2571
what is the abbreviation of the national bureau of investigation ?,ABBR,abb,0,2650
who invented the process to make condensed milk ?,HUM,ind,3,4099
what is the average age of a member of the team that worked on the manhatten project ?,NUM,period,5,1080
"what explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTY,substance,2,1200
what does shield stand for ?,ABBR,exp,0,2501
where can i get piano music for the jamiroquai song everyday for the midi ?,LOC,other,4,3979
who does the advertizing for frito-lay ?,HUM,ind,3,344
shea and gould had an office in los angeles for how long before closing it ?,NUM,period,5,1653
what is the principal river of ireland ?,LOC,other,4,2651
what color flies closest to the staff on belgium 's flag ?,ENTY,color,2,2274
who is the prime minister in norway ?,HUM,ind,3,4065
what is greek pita ?,DESC,def,1,2329
what 's the northernmost u.s. state apart from alaska ?,LOC,state,4,1359
"what river runs through colorado , kansas , and oklahoma ?",LOC,other,4,3337
when will jean aeul publish her next book ?,NUM,date,5,1830
which company created the internet browser mosaic ?,HUM,gr,3,210
what causes rust ?,DESC,reason,1,1132
what are super balls made of ?,ENTY,substance,2,4040
what jewish holiday saw the start of the 1973 mideast war ?,ENTY,event,2,368
who directed citizen kane ?,HUM,ind,3,2689
what is difference between a poster and a print ?,DESC,desc,1,3103
what is a fear of color ?,ENTY,dismed,2,1627
where does the u.s. rank among world countries in area ?,NUM,ord,5,1231
what are the top vegetable crops in the world ?,ENTY,food,2,4032
what trade did the 15th and 16th century portuguese hope to control between asia and europe ?,ENTY,other,2,4080
what is the term for a group of geese ?,ENTY,termeq,2,1777
cpr is the abbreviation for what ?,ABBR,exp,0,5068
what is sap ?,ABBR,exp,0,4258
what was the business of the animated sky hawks ?,HUM,gr,3,1699
what is the capital of california ?,LOC,city,4,5102
what are the rites accompanying the circumcision of a newly born-child in judaism called ?,ENTY,event,2,211
how tall was the animated king kong ?,NUM,dist,5,4641
what is `` the taste that beats the others cold '' ?,ENTY,food,2,3989
what did abolitionists try to end ?,ENTY,other,2,4524
what does cpr stand for ?,ABBR,exp,0,5263
who was the first governor of west virginia ?,HUM,ind,3,1827
how old was sir edmund hillary when he climbed mt. everest ?,NUM,period,5,5199
what does freddy freeman say to become captain marvel jr. ?,DESC,desc,1,3059
what does vcr stand for ?,ABBR,exp,0,3342
where did dikembe mutombo go to college ?,LOC,other,4,4273
what 19th-century writer had a country estate on the hudson dubbed sunnyside ?,HUM,ind,3,731
what is a fear of worms ?,ENTY,dismed,2,2709
what wild and crazy guy wrote a book called cruel shoes ?,HUM,ind,3,5327
who was the founding member of the pink floyd band ?,HUM,ind,3,288
how many `` eyes '' does a coconut have ?,NUM,count,5,3586
how many people died when the estonia sank in 1994 ?,NUM,count,5,4541
what is the name of a book written by aaron hass ?,ENTY,cremat,2,5018
what is the internet2 ?,DESC,def,1,4869
what lake is the source of the white nile ?,LOC,other,4,2652
which of many numbered vats of scotch was judged best by a panel of experts in 1863 ?,ENTY,food,2,3050
what is deet ?,ABBR,exp,0,3098
what tools do you use to crewel ?,ENTY,other,2,2334
what is jane goodall famous for ?,DESC,reason,1,2548
what does g.m.t. stand for ?,ABBR,exp,0,444
what is hdlc ?,ABBR,exp,0,3796
how much does the president get paid ?,NUM,money,5,1354
how much did manchester united spend on players in 1993 ?,NUM,money,5,4016
what is rcd ?,ABBR,exp,0,2433
what does e.g. stand for ?,ABBR,exp,0,1397
what is the fare cost for the round trip between new york and london on concorde ?,NUM,money,5,3734
what are the low countries ?,DESC,def,1,3653
what future movie treat was introduced to american colonists in 1603 by native americans ?,ENTY,food,2,3968
what does sids stand for ?,ABBR,exp,0,519
how many people live in chile ?,NUM,count,5,5429
who is known as `` the world 's oldest teenager '' ?,HUM,ind,3,1242
what nationality was jackson pollock ?,LOC,country,4,1703
where did woodstock take place ?,LOC,other,4,3808
what is the purpose of bios ?,DESC,reason,1,3509
who was the first jockey to ride two triple crown winners ?,HUM,ind,3,3250
what are people doing to help prevent the extinction of birds ?,DESC,desc,1,4300
how many dollars a day did arthur frommer say you could get by on in europe in 1968 ?,NUM,count,5,3658
what does jessica mean ?,ABBR,exp,0,3189
what is the lens behind the iris in the eye called ?,ENTY,termeq,2,2610
in what u.s. state was the first woman governor elected ?,LOC,state,4,424
why do horseshoes bring luck ?,DESC,reason,1,185
"what do the letters d.c. stand for in washington , d.c. ?",ABBR,exp,0,1350
what state is mount mckinley in ?,LOC,state,4,2428
where do i find information for foreclosure properties on the internet ?,LOC,other,4,2925
"when did lucelly garcia , a former ambassador of columbia to honduras , die ?",NUM,date,5,4155
where is erykah badu originally from ?,LOC,other,4,5249
what is dsl ?,ABBR,exp,0,5316
stuart hamblen is considered to be the first singing cowboy of which medium ?,ENTY,cremat,2,4992
by how much will the california state gas tax rise by the year 2000 ?,NUM,money,5,3744
what does u.s.s.r. stand for ?,ABBR,exp,0,1661
"what tv character said ; `` one of these days , alice , pow , right in the kisser '' ?",HUM,ind,3,2639
"what product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?",ENTY,product,2,4948
what is the recipe for eggs benedict ?,ENTY,food,2,2600
what 's the first day of the week ?,NUM,date,5,723
what percentage of children between the ages of two and eleven watch ` the simpsons ' ?,NUM,perc,5,1773
what does the acronym cpr mean ?,ABBR,exp,0,4559
what did lenny bruce say that got him arrested ?,DESC,desc,1,4853
what are the names of the different toes ?,ENTY,body,2,2151
what tennis player has the nickname `` nasty '' ?,HUM,ind,3,3681
what sport features snatches and clean jerks ?,ENTY,sport,2,1824
what game is fatal to anybody over 21 ?,ENTY,sport,2,1159
who was thucydides ?,HUM,desc,3,1571
which latin american country is the largest ?,LOC,country,4,2928
what people make up half the soviet union 's population ?,HUM,gr,3,5436
what is cunnilingus ?,DESC,def,1,3763
"what was al capone finally imprisoned for , in 1931 ?",DESC,reason,1,2716
what is the largest natural lake in pennsylvania ?,LOC,other,4,1499
name the three races unleashed by the celestials in marvel comics .,HUM,gr,3,3067
"what is the history of hot wheels cars , and how are they produced ?",DESC,desc,1,4164
how can i call a friend in another country when i do not know the telephone number ?,DESC,manner,1,4447
how many colors are there in the spectrum ?,NUM,count,5,5337
what is measured in curies ?,DESC,def,1,804
where is the kalahari desert ?,LOC,other,4,192
what revelation did alexander butterfield make to the senate watergate committee ?,DESC,desc,1,4339
how long were tyrannosaurus rex 's teeth ?,NUM,dist,5,1913
who is the famous sister of actress olivia de havilland ?,HUM,ind,3,4075
what does the `` c '' stand for in the equation e=mc2 ?,ABBR,exp,0,2086
who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?,HUM,ind,3,1378
who was camp david named for ?,HUM,ind,3,1681
what planet did percival lovell discover ?,LOC,other,4,4519
how do you find the area of a circle ?,DESC,manner,1,5071
what does lol mean ?,ABBR,exp,0,2143
what was known as the spice island ?,LOC,other,4,503
"what does ms. , miss , and mrs. stand for ?",ABBR,exp,0,1198
cnn is an acronym for what ?,ABBR,exp,0,3411
what year did the vietnam war end ?,NUM,date,5,897
what is the most commonly used 1 letter word in the english language ?,ENTY,word,2,3173
"what clause in the u.s. constitution may not be changed , altered or amended ?",DESC,desc,1,2509
how many e-commerce companies are started every day ?,NUM,count,5,3784
what continent is bolivia on ?,LOC,other,4,1384
what is a urologist ?,DESC,def,1,4066
"which came first , according to genesis 1 : 2 : 22 - the chicken or the egg ?",ENTY,animal,2,298
what is mikhail gorbachev 's middle initial ?,ABBR,abb,0,4944
what are the developmental stages of a swimmer ?,ENTY,other,2,353
what do the french call la manche ?,ENTY,termeq,2,1938
what tv show did john sebastian sing the theme for ?,ENTY,cremat,2,2973
how long does it take to hike the entire appalachian trail ?,NUM,period,5,2801
what is a fear of hell ?,ENTY,dismed,2,1091
what country has problems with hooligans ?,LOC,country,4,4518
who created the character james bond ?,HUM,ind,3,4940
how many colonies did germany get to keep after world war i ?,NUM,count,5,3324
what country is home to heineken beer ?,LOC,country,4,5435
what does snafu stand for ?,ABBR,exp,0,3960
"in a computer , what does scsi mean ?",ABBR,exp,0,3662
how many cds has garth brooks sold ?,NUM,count,5,911
what state is known as the hawkeye state ?,LOC,state,4,5388
how do wasps make their nests ?,DESC,manner,1,3923
what book is the follow-up to future shock ?,ENTY,cremat,2,1507
what is alice cooper 's real name ?,HUM,ind,3,4774
what bread company used to feature stickers of the cisco kid on the ends of their packages ?,HUM,gr,3,2780
